"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Kepesito vizsga 2022 - Balog Crisan Roland","TestInput","","0","0","1","0","0"
"Kepesito vizsga 2022 - Balog Crisan Roland","TableTest","","0","0","1","0","0"
"Kepesito vizsga 2022 - Balog Crisan Roland","NamecardTest","","0","0","1","0","0"
"Kepesito vizsga 2022 - Balog Crisan Roland","SelectDayTest","","0","0","1","0","0"
"Kepesito vizsga 2022 - Balog Crisan Roland","AlertTest","","0","0","1","0","0"
