"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 19 11:55:17 GMT 2022","Tue Jul 19 11:55:21 GMT 2022","3979","","SeleniumTest","","SeleniumTest","TestInput","TC01",""
"passed","Tue Jul 19 11:55:11 GMT 2022","Tue Jul 19 11:55:14 GMT 2022","2461","","SeleniumTest","","SeleniumTest","TableTest","TC05",""
"passed","Tue Jul 19 11:55:21 GMT 2022","Tue Jul 19 11:55:23 GMT 2022","2096","","SeleniumTest","","SeleniumTest","NamecardTest","TC04",""
"passed","Tue Jul 19 11:55:08 GMT 2022","Tue Jul 19 11:55:11 GMT 2022","3239","","SeleniumTest","","SeleniumTest","SelectDayTest","TC02",""
"passed","Tue Jul 19 11:55:14 GMT 2022","Tue Jul 19 11:55:17 GMT 2022","2891","","SeleniumTest","","SeleniumTest","AlertTest","TC03",""
